Payment Date,Brand,Product Line,Total Revenue,Average Receipt
2016-01-01,HUB,Other,6692.83,119.514821
2016-01-01,HUB,Hub Shared,10168.56,121.054286
2016-01-01,HUB,Domain Registration,6257.04,69.522667
2016-01-01,HUB,Your Web Layout,339.89,84.9725
2016-01-01,IMH,Other,17013.53,75.953259
2016-01-01,IMH,Business Class,26237.87,104.533347
2016-01-01,IMH,Reseller,3237.14,54.86678
2016-01-01,IMH,VPS,20557.43,111.121243
2016-01-01,IMH,Dedicated,18082.48,322.901429
2016-01-01,IMH,Domain Registration,13792.73,47.397698
2016-01-01,IMH,Your Web Layout,7243.41,190.616053
2016-01-01,IMH,Managed Hosting,529,58.777778
2016-01-02,HUB,Other,7601.78,116.950462
2016-01-02,HUB,Hub Shared,11733.13,123.506632
2016-01-02,HUB,Domain Registration,4688.17,52.676067
2016-01-02,HUB,Your Web Layout,512.93,73.275714
2016-01-02,IMH,Other,13833.51,62.033677
2016-01-02,IMH,Business Class,28552.83,105.360996
2016-01-02,IMH,Reseller,4395.07,58.600933
2016-01-02,IMH,VPS,20250.42,117.054451
2016-01-02,IMH,Dedicated,20033.81,370.996481
2016-01-02,IMH,Domain Registration,13916.87,45.779178
2016-01-02,IMH,Your Web Layout,3552.9,107.663636
2016-01-02,IMH,Managed Hosting,755.49,58.114615
2016-01-03,HUB,Other,7520.77,112.250299
2016-01-03,HUB,Hub Shared,11713.37,124.610319
2016-01-03,HUB,Domain Registration,5253.3,57.728571
2016-01-03,HUB,Your Web Layout,576.88,115.376
2016-01-03,IMH,Other,14011.55,60.394612
2016-01-03,IMH,Business Class,30724.04,111.318986
2016-01-03,IMH,Reseller,2206.38,44.1276
2016-01-03,IMH,VPS,14121.43,107.797176
2016-01-03,IMH,Dedicated,15104.51,335.655778
2016-01-03,IMH,Domain Registration,12708.82,41.128867
2016-01-03,IMH,Your Web Layout,2033.92,112.995556
2016-01-03,IMH,Managed Hosting,250,31.25
2016-01-04,HUB,Other,7118.98,104.690882
